Decimal,Subfleet,Alpha Tag,Mode,Description,Tag,Category,Priority,Stream List
23506,,Krsh Co SD Sp Op,D,Sheriff Special Ops,Law Tac,Kershaw County,99,player2
23507,,Krsh Co SD,D,Sheriff,Law Tac,Kershaw County,99,player2
23511,,Krsh Co SD Roam,D,Sheriff Roam,Law Tac,Kershaw County,99,player2
23512,,Krsh Co EMS,D,EMS,EMS-Tac,Kershaw County,99,player2
23541,,Krsh Co FD Disp,D,Fire Dispatch,Fire Dispatch,Kershaw County,99,player2
23545,,Krsh Co FD Ops 1,D,Fire Ops 1,Fire-Tac,Kershaw County,99,player2
23546,,Krsh Co FD Admin,D,Fire Admin,Fire-Tac,Kershaw County,99,player2
23565,,Krsh Co EMS Disp,D,EMS Dispatch,EMS Dispatch,Kershaw County,99,player2
23571,,Krsh Co EMS Hosp,D,EMS to Hospital,Hospital,Kershaw County,99,player2
23641,,Krsh Co Air Ops,D,Air Ops,Multi-Tac,Kershaw County,99,player2
23881,,Camden FD,D,Camden FD,Fire Dispatch,Kershaw County,99,player2
23886,,Camden PD ,D,Camden PD,Law Dispatch,Kershaw County,99,player2
24001,,Lee Co LE Disp,D,Sheriff and Bishopville PD Dispatch,Law Dispatch,Lee County,99,
24004,,Lee Co EMS,D,EMS,EMS-Tac,Lee County,99,
24041,,Lee Co FDEMS,D,Fire and EMS Dispatch,Fire Dispatch,Lee County,99,
24501,,LCSD DSP1,DE,Sheriff Dispatch 1,Law Dispatch,Lexington County,99,player1
24502,,LCSD DSP2,DE,Sheriff Dispatch 2,Law Dispatch,Lexington County,99,player1
24503,,LCSD DSP3,DE,Sheriff Dispatch 3,Law Dispatch,Lexington County,99,player1
24506,,LCSD NORTH,DE,Sheriff North,Law Dispatch,Lexington County,99,player1
24507,,LCSD SOUTH,DE,Sheriff South,Law Dispatch,Lexington County,99,player1
24509,,LCSD WEST,DE,Sheriff West,Law Dispatch,Lexington County,99,player1
24510,,LCSD 4 CO OP,D,Sheriff Coop,Law Tac,Lexington County,99,player1
24515,,LCSD OPS1,DE,Sheriff Ops 1,Law Tac,Lexington County,99,player1
24521,,LEXINGTON PD C,D,Town PDs Central  Lexington S Congaree Pine Ridge  Springdale,Law Dispatch,Lexington County,99,player1
24522,,LEXINGTON PD N,D,Town PDs North  Irmo  Chapin,Law Dispatch,Lexington County,99,player1
24523,,LEXINGTON PD S,D,Town PDs South  Swansea Gaston  Pelion,Law Dispatch,Lexington County,99,player1
24525,,LCPS CMD,D,Fire Command,Fire-Tac,Lexington County,99,player1
24531,,LCPS OPS 1,D,Fire Ops 1,Fire-Tac,Lexington County,99,player1
24532,,LCPS OPS 2,D,Fire Ops 2,Fire-Tac,Lexington County,99,player1
24533,,LCPS OPS 3,D,Fire Ops 3,Fire-Tac,Lexington County,99,player1
24534,,LCPS OPS 4,D,Fire Ops 4,Fire-Tac,Lexington County,99,player1
24535,,LCPS OPS 5,D,Fire Ops 5,Fire-Tac,Lexington County,99,player1
24536,,LCPS OPS 6,D,Fire Ops 6,Fire-Tac,Lexington County,99,player1
24537,,LCPS OPS 7,D,Fire Ops 7,Fire-Tac,Lexington County,99,player1
24538,,LCPS OPS 8,D,Fire Ops 8,Fire-Tac,Lexington County,99,player1
24539,,LCPS OPS 9,D,Fire Ops 9,Fire-Tac,Lexington County,99,player1
24542,,LCPS DISP,D,Fire Dispatch,Fire Dispatch,Lexington County,99,player1
24543,,LCFS ADMIN,D,Fire Admin,Fire-Tac,Lexington County,99,player1
24566,,LCEMS DISP,D,EMS Dispatch,EMS Dispatch,Lexington County,99,player1
24567,,LCEMS ADM,D,EMS Admin,EMS-Tac,Lexington County,99,player1
24569,,LCEMS to PalHlth,D,EMS to Palmetto Health,Hospital,Lexington County,99,player1
24570,,LCEMS to LMC,D,EMS to Lexington Medical Center,Hospital,Lexington County,99,player1
24600,,LexCo Solid Wast,D,Solid Waste,Public Works,Lexington County,99,player1
24644,,LexCo Anim Contr,D,Animal Control,Public Works,Lexington County,99,player1
24671,,LMC Sec 1,D,Lexington Medical Center Police Ch1 ,Law Dispatch,Lexington County,99,player1
24672,,LMC Sec 2,D,Lexington Medical Center Police Ch2,Law Tac,Lexington County,99,player1
24681,,Mid Tech Sec,D,Midlands Technical College Security,Schools,Richland County,99,player0
24716,,WEST COLA PD DIS,D,West Columbia PD Dispatch,Law Dispatch,Lexington County,99,player1
24717,,WEST COLA PD DET,D,West Columbia PD Detectives,Law Tac,Lexington County,99,player1
24719,,WEST COLA PD OPS,D,West Columbia PD Ops 1,Law Tac,Lexington County,99,player1
24865,,CAYCE DPS DISP,D,Cayce DPS Dispatch,Law Dispatch,Lexington County,99,player1
24866,,Cayce DPS,D,Cayce DPS,Law Tac,Lexington County,99,player1
24867,,CAYCE PD TAC1,D,Cayce PD Tac 1,Law Tac,Lexington County,99,player1
24868,,Cayce Roam,D,Cayce Roam,Law Tac,Lexington County,99,player1
24869,,Cayce PD Traff,D,Cayce PD Traffic,Law Tac,Lexington County,99,player1
24871,,CAYCE FD,D,Cayce FD Dispatch,Fire Dispatch,Lexington County,99,player1
24881,,Chapin PD,D,Chapin PD,Law Talk,Lexington County,99,player1
24910,,Irmo FD Talk,D,Irmo FD Talk,Fire-Talk,Lexington County,99,player1
24912,,IRMO PD 1,D,Irmo PD 1,Law Dispatch,Lexington County,99,player1
24913,,IRMO PD 2,D,Irmo PD 2,Law Tac,Lexington County,99,player1
24925,,Lex PD Tac,D,Lexington PD Tac,Law Tac,Lexington County,99,player1
24940,,Pelion PD,D,Pelion PD,Law Talk,Lexington County,99,player1
24985,,Springdale PD,D,Springdale PD,Law Talk,Lexington County,99,player1
25007,,OCSO Dispatch,D,Sheriff Dispatch,Law Dispatch,Orangeburg County,99,
25009,,OCSO Talk,D,Sheriff Talk,Law Talk,Orangeburg County,99,
25031,,OCSO Talk,D,Sheriff Talk,Law Talk,Orangeburg County,99,
25053,,OCFD Dispatch,D,Fire Dispatch,Fire Dispatch,Orangeburg County,99,
25057,,OCFD Dispatch,D,Fire Dispatch,Fire Dispatch,Orangeburg County,99,
25068,,OCEMS Dispatch,D,EMS Dispatch,EMS Dispatch,Orangeburg County,99,
25069,,OCEMS Talk,D,EMS Talk,EMS-Talk,Orangeburg County,99,
25081,,OCEMS to TRMC,D,EMS to the Regional Medical Center,Hospital,Orangeburg County,99,
25344,,RCES PS,D,Emergency Services,Emergency Ops,Richland County,99,player0
25501,,RCSD 1,D,Sheriff Reg 1 Dispatch,Law Dispatch,Richland County,99,player0
25502,,RCSD 2,D,Sheriff Reg 2 Dispatch,Law Dispatch,Richland County,50,broadcastify|player0
25503,,RCSD 3,D,Sheriff Reg 3 Dispatch,Law Dispatch,Richland County,50,broadcastify|player0
25504,,RCSD 4,D,Sheriff Reg 4 Dispatch,Law Dispatch,Richland County,99,player0
25505,,RCSD 5,DE,Sheriff Ch 5,Law Tac,Richland County,99,player0
25506,,RCSD 6/7,D,Sheriff Reg 6/7 Dispatch,Law Dispatch,Richland County,50,broadcastify|player0
25507,,RCSD 7,DE,Sheriff Ch 7,Law Tac,Richland County,99,player0
25513,,RCSD OPS2,DE,Sheriff Ops 2,Law Tac,Richland County,99,player0
25514,,RCSD OPS3,D,Sheriff Ops 3,Law Tac,Richland County,50,player0
25518,,RC TRAFFICCAT,DE,Sheriff TrafficCAT,Law Tac,Richland County,99,player0
25519,,RCSD INV,DE,Sheriff Investigations,Law Tac,Richland County,99,player0
25520,,RCSD DSK SGT,DE,Sheriff Desk Sargeant,Law Tac,Richland County,99,player0
25522,,RCSD MA,D,Sheriff Mutual Aid,Law Tac,Richland County,50,player0
25552,,CFD DISP,D,Fire Dispatch,Fire Dispatch,Richland County,50,broadcastify|player0
25553,,CFD OPS1,D,Fire Ops 1,Fire-Tac,Richland County,50,broadcastify|player0
25554,,CFD OPS2,D,Fire Ops 2,Fire-Tac,Richland County,50,broadcastify|player0
25555,,CFD OPS3,D,Fire Ops 3,Fire-Tac,Richland County,50,broadcastify|player0
25556,,CFD OPS4,D,Fire Ops 4,Fire-Tac,Richland County,50,broadcastify|player0
25557,,CFD OPS5,D,Fire Ops 5,Fire-Tac,Richland County,50,broadcastify|player0
25558,,CFD OPS6,D,Fire Ops 6,Fire-Tac,Richland County,50,broadcastify|player0
25559,,CFD CMD1,D,Fire Command 1,Fire-Tac,Richland County,50,player0
25560,,CFD CMD2,D,Fire Command 2,Fire-Tac,Richland County,50,player0
25561,,CFD ADMIN 1,D,Fire Admin 1,Fire-Tac,Richland County,99,player0
25562,,PREVENT,D,Fire Prevention,Fire-Tac,Richland County,99,player0
25563,,CFD SW,D,Fire Statewide,Fire-Tac,Richland County,99,player0
25565,,RC EMS 1,D,EMS Dispatch,EMS Dispatch,Richland County,99,player0
25566,,RC EMS 2,D,EMS to Hospital,Hospital,Richland County,99,player0
25567,,RC EMS 3,D,EMS Ch 3,EMS-Tac,Richland County,99,player0
25569,,RCESD 5 Hazmat,D,Hazmat,Emergency Ops,Richland County,99,player0
25570,,RCESD 6,D,Emergency Services,Emergency Ops,Richland County,99,player0
25571,,RCESD 7,D,Public Safety,Emergency Ops,Richland County,99,player0
25572,,RCESD 8,D,Emergency Services,Emergency Ops,Richland County,99,player0
25641,,RC Coroner,DE,Coroner,Law Tac,Richland County,99,player0
25642,,Rich Co Jail,D,Jail,Law Tac,Richland County,99,player0
25651,,RC School D1,D,School District 1 Security,Schools,Richland County,99,player0
25657,,RC School D2,D,School District 2 Security,Schools,Richland County,99,player0
25665,,COLA EAST,D,Police East Region Dispatch,Law Dispatch,Columbia,50,broadcastify|player0
25666,,COLA METRO,D,Police Metro Region Dispatch,Law Dispatch,Columbia,99,player0
25667,,COLA NORTH,D,Police North Region Dispatch,Law Dispatch,Columbia,99,player0
25668,,COLA SOUTH,D,Police South Region Dispatch,Law Dispatch,Columbia,99,player0
25669,,COLA WEST,D,Police West Region Dispatch,Law Dispatch,Columbia,99,player0
25671,,COLA CSO,D,Police CSO,Law Tac,Columbia,99,player0
25672,,COLA SPECIAL EVT,D,Police Special Events,Law Tac,Columbia,99,player0
25673,,COLA INV,D,Police Investigations,Law Tac,Columbia,99,player0
25675,,COLA OPS1,D,Police Ops 1,Law Tac,Columbia,50,player0
25676,,COLA OPS2,D,Police Ops 2,Law Tac,Columbia,50,player0
25678,,COLA ROAM,D,Police Roam,Law Tac,Columbia,99,player0
25680,,COLA TRU,D,Police Telephone Response Unit TRU,Law Dispatch,Columbia,99,player0
25695,,Cola College PD,D,Columbia College PD,Schools,Richland County,99,player0
25854,,FOREST ACRES PD,D,Forest Acres PD Dispatch,Law Dispatch,Richland County,99,player0
26001,,Sumter PD 1,D,Sumter PD Dispatch,Law Dispatch,Sumter County,99,player3
26002,,Sumter PD 2,DE,Sumter PD 2,Law Tac,Sumter County,99,player3
26003,,Sumter PD 3,D,Sumter PD 3 TAC 1,Law Tac,Sumter County,99,player3
26004,,Sumter PD 4,D,Sumter PD Special Events,Law Tac,Sumter County,99,player3
26051,,Sumter SD 1,D,SD Dispatch,Law Dispatch,Sumter County,99,player3
26052,,Sumter SD 2,DE,SD 2,Law Tac,Sumter County,99,player3
26053,,Sumter SD Traff,D,SD TrafficCAT,Law Tac,Sumter County,99,player3
26054,,Sumter SD 4,D,SD 4 Talk,Law Talk,Sumter County,99,player3
26057,,Sumter SD,DE,SD Unknown,Law Tac,Sumter County,99,player3
26058,,Sumter SD,DE,Sheriff Unknown,Law Tac,Sumter County,99,player3
26101,,SumterCo FD1,D,FD Dispatch,Fire Dispatch,Sumter County,99,player3
26102,,SumterCo FGA,D,FD Fireground A,Fire-Tac,Sumter County,99,player3
26103,,SumterCo FG,D,FD Fireground,Fire-Tac,Sumter County,99,player3
26104,,SumterCo FGB,D,FD Fireground B,Fire-Tac,Sumter County,99,player3
26105,,SumterCo FGC,D,FD Fireground C,Fire-Tac,Sumter County,99,player3
26106,,SumterCo FGD,D,FD Fireground D,Fire-Tac,Sumter County,99,player3
26107,,SumterCo FGE,D,FD Fireground E,Fire-Tac,Sumter County,99,player3
26108,,SumterCo FD,D,FD Training,Fire-Tac,Sumter County,99,player3
26109,,SumterCo FD,DE,FD Admin,Fire-Tac,Sumter County,99,player3
26111,,Sumter AG,D,Air to Ground,Multi-Tac,Sumter County,99,player3
26151,,SumterCo EMS,D,EMS Dispatch,EMS Dispatch,Sumter County,99,player3
26152,,SumterCo EMS,D,EMS 2 Talk,EMS-Talk,Sumter County,99,player3
26153,,EMS Toumey,D,EMS TO Toumey Hospital,Hospital,Sumter County,99,player3
26207,,SUM EMS HOSP,D,EMS to Hospital,Hospital,Sumter County,99,player3
27050,,Moto Service,D,Service,Other,Motorola,99,
27068,,Moto Service,D,Service,Other,Motorola,99,
27101,,SCHP SmtrClrd,D,Ch 1 SumterClarendon Dispatch,Law Dispatch,SCHP Troop 1,99,player3
27102,,SCHP Tac 1,D,Ch 2 Tac 1,Law Tac,SCHP Troop 1,99,
27103,,SCHP LeeKrshw,D,Ch 3 KershawLee Dispatch,Law Dispatch,SCHP Troop 1,99,player2
27104,,SCHP Lexington,D,Ch 4 Lexington Dispatch,Law Dispatch,SCHP Troop 1,99,player1
27105,,SCHP Tac 2,D,Ch 5 Tac 2,Law Tac,SCHP Troop 1,99,
27106,,SCHP Richland,D,Ch 6 Richland Dispatch,Law Dispatch,SCHP Troop 1,50,broadcastify|player0
27108,,DPS 1,D,Ch 8 DPS 1,Public Works,SCHP Troop 1,99,
27109,,SCHP Sp Ops 1,D,Ch 9 Special Ops Troop 1,Law Tac,SCHP Troop 1,99,
27111,,SCHP Aiken Disp,D,Ch 97 Aiken Dispatch,Law Dispatch,SCHP Troop 7,99,
27112,,SCHP Tac 13,D,Ch 98 Tac 13,Law Tac,SCHP Troop 7,99,
27113,,SCHP Oburg Disp,D,Ch 99 OrangeburgCalhoun Dispatch,Law Dispatch,SCHP Troop 7,99,
27114,,SCHP Tac 14,D,Ch 101 Tac 14,Law Tac,SCHP Troop 7,99,
27115,,SCTP Tr 7,D,Ch 103 Transport Police Troop 7,Law Tac,SCHP Troop 7,99,
27116,,DPS 7,D,Ch 104 DPS 7,Public Works,SCHP Troop 7,99,
27117,,SCHP Sp Ops 7,D,Ch 105 Special Ops Troop 7,Law Tac,SCHP Troop 7,99,
27118,,SCHP BmbBrn Disp,D,Ch  BambergBarnwellAllendaleHampton Dispatch,Law Dispatch,SCHP Troop 7,99,
27121,,SC BPS Disp,D,BPS Dispatch,Law Dispatch,SC BPS Bureau Of Protective Services,99,
27123,,SC BPS 1,D,BPS 1,Law Tac,SC BPS Bureau Of Protective Services,99,
27124,,SC BPS 2,D,BPS 2,Law Tac,SC BPS Bureau Of Protective Services,99,
27125,,SC BPS Statewide,D,BPS Statewide,Law Tac,SC BPS Bureau Of Protective Services,99,
27134,,SCHP Memo,D,Insurance Enforcement Unit memo units,Law Talk,SCHP Statewide,99,
27301,,SLED Ops 2,DE,Ops 2,Law Tac,SLED State Law Enforcement Division,99,
27302,,SLED Ops 1,D,Ops 1,Law Tac,SLED State Law Enforcement Division,99,
27307,,SLED Enc,DE,ENC,Law Tac,SLED State Law Enforcement Division,99,
27311,,SLED Midlands,D,Midlands,Law Tac,SLED State Law Enforcement Division,99,
27312,,SLED Statewide,D,Statewide,Law Tac,SLED State Law Enforcement Division,99,
27406,,SC DNR Reg 3,D,Region 3,Law Tac,SC DNR,99,
27407,,SC DNR Roam,D,Roam,Law Tac,SC DNR,99,
27501,,SC DHEC Reg 2,D,Region 2,Emergency Ops,SC DHEC,99,
27502,,SC DHEC MA,D,Mutual Aid,Emergency Ops,SC DHEC,99,
27505,,SC DHEC Hosp,D,Hospital Net Main,Hospital,SC DHEC,99,
27506,,SC DHEC Hosp Rg2,D,Hospital Region 2,Hospital,SC DHEC,99,
27507,,SC DHEC Main,D,Main,Emergency Ops,SC DHEC,99,
27510,,SC DHEC ERT,D,Emergency Response Team,Emergency Ops,SC DHEC,99,
27601,,SC DJJ,D,SC DJJ,Corrections,SC DJJ,99,
27603,,SC DJJ,D,SC DJJ,Corrections,SC DJJ,99,
27605,,SC DJJ,D,SC DJJ,Corrections,SC DJJ,99,
27711,,SC PPP Lexington,D,Lexington,Law Tac,SC PPP,99,player1
27712,,SC PPP Richland,D,Richland,Law Tac,SC PPP,99,player0
27714,,SC PPP Roam,D,Roam,Law Tac,SC PPP,99,
27827,,SC Forestry,D,800MHz Dispatch ,Public Works,SC Forestry,99,
27871,,SC Nat Guard,D,Guard Ops,Military,SC National Guard,99,player4
27882,,USC PD,DE,USC Police,Law Dispatch,University of South Carolina,99,
27883,,USC PD,DE,USC Police,Law Dispatch,University of South Carolina,99,
27884,,USC PD,DE,USC Police,Law Dispatch,University of South Carolina,99,
27885,,USC PD,DE,USC Police,Law Dispatch,University of South Carolina,99,
27886,,USC PD,DE,USC Police,Law Dispatch,University of South Carolina,99,
27901,,SC DMH PD Disp,D,Police Ch1 Dispatch,Law Dispatch,SC DMH,99,
27902,,SC DMH PD 2,D,Police Ch2,Law Talk,SC DMH,99,
28002,,SC DOT Radio,D,Radio Shop Statewide,Public Works,SC DOT,99,
28003,,SHEP D1,D,SC DOT SHEP District 1,Public Works,SCHP Troop 1,99,
28101,,SC EMD Call,D,Call,Emergency Ops,SC EMD,99,
28102,,SC EMD Ops 1,D,Ops 1,Emergency Ops,SC EMD,99,
28103,,SC EMD Ops 3,D,Ops 3,Emergency Ops,SC EMD,99,
28104,,SC EMD Common,D,Common,Emergency Ops,SC EMD,99,
28106,,SC EMD Midlands,D,Midlands,Emergency Ops,SC EMD,99,
28112,,SC EMD Sav River,D,Savannah River,Emergency Ops,SC EMD,99,
28512,,SanteeWater RTA,D,SanteeWateree Regional Transit Authority,Transportation,Transportation,99,
28601,,Medshore Midlnds,D,Medshore Ambulance Midlands Area,EMS-Tac,Ambulance Services,99,
28606,,LifeNet to Hosp,D,LifeNet to Palmetto Richland ER,Hospital,SC Medical Helicopters,50,player0
28609,,SC Lifenet,D,LifeNet,EMS Dispatch,SC Medical Helicopters,99,
32065,,Hampton Co FD,D,Fire Dispatch,Fire Dispatch,Hampton County,99,
32143,,Hampton Co LE,D,Law Enforcement Dispatch,Law Dispatch,Hampton County,99,
40005,,SC Air 3,D,SC Air 3,Emergency Ops,SC Interoperability,99,
40010,,SC Reg Govt 2,D,Regional Govt 2,Interop,SC Interoperability,99,
40011,,SC Reg Govt 3,D,Regional Govt 3,Interop,SC Interoperability,99,
40012,,SC Reg Govt 4,D,Regional Govt 4,Interop,SC Interoperability,99,
40013,,SC LE Comm 2,D,LE Common 2,Law Tac,SC Interoperability,99,
40014,,SC LE Comm 3,D,LE Common 3,Law Tac,SC Interoperability,99,
40015,,SC LE Comm 4,D,LE Common 4,Law Tac,SC Interoperability,99,
40504,,Abbeville SD,D,Abbeville SD,Law Dispatch,Abbeville County,99,
40572,,Abbvl EMS,D,EMS,EMS Dispatch,Abbeville County,99,
40882,,Abbvl EMS Hosp,D,EMS to Hospital,Hospital,Abbeville County,99,
41000,,AndCo SD Dis,D,Sheriff Ch 1 Dispatch,Law Dispatch,Anderson County,99,
41001,,AndCo SD Trf,D,Sheriff Ch 2 Traffic Enforcement,Law Tac,Anderson County,99,
41002,,AndCo SD Tlk,D,Sheriff Ch 3 Talkaround,Law Talk,Anderson County,99,
41003,,AndCo SD 4,D,Sheriff Ch 4 Traffic Channel,Law Tac,Anderson County,99,
41004,,AndCo SD 5,DE,Sheriff Ch 5,Law Tac,Anderson County,99,
41006,,AndCo FD Dis,D,Fire Dispatch,Fire-Tac,Anderson County,99,
41007,,AndCo FD,D,Fire Unknown Use,Fire-Tac,Anderson County,99,
41008,,AndCo SD Crt,D,Court Security,Law Tac,Anderson County,99,
41011,,Belton PD Tac,D,Belton PD Tac,Law Tac,Anderson County,99,
41013,,AndCo FD Haz,D,Fire HAZMAT,Fire-Tac,Anderson County,99,
41014,,And FD Disp,D,Anderson FD Dispatch,Fire Dispatch,Anderson County,99,
41019,,And PD Disp,D,Anderson PD Ch 1,Law Dispatch,Anderson County,99,
41020,,And PD Tac,D,Anderson PD Ch 2 Tactical,Law Tac,Anderson County,99,
41023,,And Muni PDs,D,Municipal PDs Belton Honeapath Pendleton Williamson,Law Tac,Anderson County,99,
41027,,AndCo Em Svc,DE,Emergency Services,Emergency Ops,Anderson County,99,
41029,,AndCo LE Unk,DE,Unknown Law Enforcement,Law Tac,Anderson County,99,
41030,,AndCo EMS Ds,D,EMS Dispatch,EMS Dispatch,Anderson County,99,
41031,,AndCo EMS,D,EMSAnMed Lifeflight,EMS-Tac,Anderson County,99,
41032,,AndCo SD Roam,D,Sheriff Roam,Law Tac,Anderson County,99,
41033,,AndCo Sp Op1,D,Special Ops 1,Emergency Ops,Anderson County,99,
41034,,AndCo Sp Op2,D,Special Ops 2,Emergency Ops,Anderson County,99,
41035,,AndCo SD Evt 1,D,Sheriff Special Events 1,Law Tac,Anderson County,99,
41036,,AndCo SD Evt 2,D,Sheriff Special Events 2,Law Tac,Anderson County,99,
41037,,AndCo SD Evt 3,D,Sheriff Special Events 3,Law Tac,Anderson County,99,
41042,,EMS2AnMed,D,EMS to Anderson Medical Center,Hospital,Anderson County,99,
41043,,AndCo Mun FD,D,Municipal FDs Belton Honea Path Williamston FDs,Fire-Tac,Anderson County,99,
42001,,Chester SO Disp,D,Sheriff Dispatch,Law Dispatch,Chester County,99,
42002,,Chester SD Tac 1,D,Sheriff Tac 1,Law Tac,Chester County,99,
42003,,Chester SD Tac 2,D,Sheriff Tac 2,Law Tac,Chester County,99,
42116,,Chester EmergMgt,D,Emergency Management,Emergency Ops,Chester County,99,
42351,,Chester PD Disp,D,Chester PD Dispatch,Law Dispatch,Chester County,99,
42501,,Chstfld Co SD 1,D,Sheriff 1,Law Tac,Chesterfield County,99,
42502,,Chstfld Co SD 2,D,Sheriff 2,Law Tac,Chesterfield County,99,
43501,,Fairfld Co SD 1,D,Sheriff 1,Law Tac,Fairfield County,99,
43502,,Fairfld Co SD 2,D,Sheriff 2,Law Tac,Fairfield County,99,
43851,,Winnsboro DPS,D,Winnsboro Dept of Public Safety Dispatch,Law Dispatch,Fairfield County,99,
44001,,Grvl SD SROs,D,Sheriff School Resource Officers,Law Tac,Greenville County,99,
44004,,Grvl SD Tac,De,Sheriff Tac,Law Tac,Greenville County,99,
44005,,Grvl SD Tac,DE,Sheriff Tac,Law Tac,Greenville County,99,
44006,,Grvl SD Tac,DE,Sheriff Tac,Law Tac,Greenville County,99,
44007,,Grvl SD Tac,DE,Sheriff Tac,Law Tac,Greenville County,99,
44008,,Grvl SD Tac,DE,Sheriff Tac,Law Tac,Greenville County,99,
44009,,Grvl SD Tac,DE,Sheriff Tac,Law Tac,Greenville County,99,
44041,,Grvl Co FD Chief,D,County Fire Chiefs,Fire-Tac,Greenville County,99,
44115,,Grvl FD Tac 2,D,Fire Tac 2,Fire-Tac,Greenville County,99,
44118,,Grvl Animal Cntl,D,Animal Control,Public Works,Greenville County,99,
44157,,Greenlink,D,Greenlink Greenville Buses,Transportation,Greenville County,99,
44158,,Grvl GAP,D,Greenville Area Paratransit,Transportation,Greenville County,99,
44250,,Grvl Tech Sec,D,Greenville Technical College Security,Security,Greenville County,99,
44256,,River Falls FD,D,River Falls FD,Fire-Tac,Greenville County,99,
44351,,GFD Dispatch 1,D,Greenville FD Dispatch 1,Fire Dispatch,Greenville County,99,
44352,,GFD DIspatch 2,D,Greenville FD Dispatch 2,Fire Dispatch,Greenville County,99,
44353,,GFD Command 1,D,Greenville FD Command 1,Fire-Tac,Greenville County,99,
44356,,GPD Traffic,D,Greenville City PD Traffic,Law Tac,Greenville County,99,
44357,,GPD Event,D,Greenville City PD TacEvent,Law Tac,Greenville County,99,
44358,,GPD Dispatch,D,Greenville City PD Dispatch,Law Dispatch,Greenville County,99,
44359,,GPD Records,D,Greenville City PD Records,Law Tac,Greenville County,99,
44360,,GPD Admin,D,Greenville City PD Admin,Law Tac,Greenville County,99,
44361,,GPD,D,Greenville PD,Law Tac,Greenville County,99,
44381,,Greer PD,D,Greer PD Dispatch,Law Dispatch,Greenville County,99,
44385,,Greer FD,D,Greer FD,Fire-Tac,Greenville County,99,
44441,,Simpsnvl PD 1,D,Simpsonville PD 1,Law Dispatch,Greenville County,99,
44442,,Simpsnvl PD 2,D,Simpsonville PD 2,Law Tac,Greenville County,99,
44443,,Simpsnvl PD 3,D,Simpsonville PD 3,Law Tac,Greenville County,99,
44455,,Trav Rest PD,D,Travelers Rest PD,Law Dispatch,Greenville County,99,
44501,,Grnwd Co SD 1,D,Sheriff Ch 1,Law Dispatch,Greenwood County,99,
44502,,Grnwd Co SD 2,D,Sheriff Ch 2,Law Tac,Greenwood County,99,
44541,,Grnwd Co FD 1,D,Fire Ch 1,Fire-Tac,Greenwood County,99,
44542,,Grnwd Co FD 2,D,Fire Ch 2,Fire-Tac,Greenwood County,99,
44543,,Grnwd Co FD 3,D,Fire Ch 3,Fire-Tac,Greenwood County,99,
44565,,Grnwd EMS Disp,D,EMS Dispatch,EMS Dispatch,Greenwood County,99,
44581,,Self Hosp ER,D,EMS to Self Regional ER,Hospital,Greenwood County,99,
44673,,Lander Univ,D,Lander University Maintenance,Business,Greenwood County,99,
44851,,Greenwood PD,D,Greenwood PD,Law Dispatch,Greenwood County,99,
45005,,LC Air Ops,D,Air Ops,Emergency Ops,Lancaster County,99,
45006,,LC Event 1,D,Event 1,Multi-Tac,Lancaster County,99,
45007,,LC Event 2,D,Event 2,Multi-Tac,Lancaster County,99,
45010,,LC Emergency,D,Emergency,Emergency Ops,Lancaster County,99,
45011,,LC Roam,D,Roam,Multi-Tac,Lancaster County,99,
45050,,LC Sheriff Disp,DE,Sheriff Dispatch,Law Dispatch,Lancaster County,99,
45101,,LC FDEMS Disp,D,FireEMS Dispatch,Multi-Dispatch,Lancaster County,99,
45102,,LC FDEMS Ops 2,D,FireEMS Ops 2,Fire-Tac,Lancaster County,99,
45103,,LC FDEMS Ops 3,D,FireEMS Ops 3,Fire-Tac,Lancaster County,99,
45104,,LC FDEMS Ops 4,D,FireEMS Ops 4,Fire-Tac,Lancaster County,99,
45105,,LC FDEMS Ops 5,D,FireEMS Ops 5,Fire-Tac,Lancaster County,99,
45106,,LC FDEMS Ops 6,DE,FireEMS Ops 6,Fire-Tac,Lancaster County,99,
45107,,LC FDEMS Ops 7,DE,FireEMS Ops 7,Fire-Tac,Lancaster County,99,
45108,,LC FDEMS Ops 8,DE,FireEMS Ops 8,Fire-Tac,Lancaster County,99,
45109,,LC FDEMS Ops 9,DE,FireEMS Ops 9,Fire-Tac,Lancaster County,99,
45110,,LC FDEMS Ops 10,DE,FireEMS Ops 10,Fire-Tac,Lancaster County,99,
45112,,LC FDEMS Tac 2,D,FireEMS Tac 2,Fire-Tac,Lancaster County,99,
45113,,LC FDEMS Tac 3,D,FireEMS Tac 3,Fire-Tac,Lancaster County,99,
45114,,LC FDEMS Tac 4,D,FireEMS Tac 4,Fire-Tac,Lancaster County,99,
45115,,LC FDEMS Tac 5,D,FireEMS Tac 5,Fire-Tac,Lancaster County,99,
45116,,LC FDEMS Tac 6,D,FireEMS Tac 6,Fire-Tac,Lancaster County,99,
45117,,LC FDEMS Tac 7,D,FireEMS Tac 7,Fire-Tac,Lancaster County,99,
45118,,LC FDEMS Tac 8,D,FireEMS Tac 8,Fire-Tac,Lancaster County,99,
45119,,LC FDEMS Tac 9,D,FireEMS Tac 9,Fire-Tac,Lancaster County,99,
45150,,Lanc PD Disp,DE,Lancaster City PD,Law Dispatch,Lancaster County,99,
45501,,Laurens SD Disp,D,Sheriff Dispatch,Law Dispatch,Laurens County,99,
45565,,Laurens EMS Disp,D,EMS Dispatch,EMS Dispatch,Laurens County,99,
